JukeboxID,Artist A side,Artist B side,Genre,In Jukebox,Jukebox ID,Track A side,Track B side
,The Bangles,The Bangles,Pop,Y,100,Manic Monday,In a different light
,Tom Jones,Tom Jones,Oldy,Y,101,It’s not unusual,To wait for love
,Bananarama,Bananarama,Pop,Y,102,I want you back,Bad for me
,Mickey Gilley,Unstrung Heroes,Oldy,Y,103,Stand by me,Cotton Eyed Joe
,Tiffany,Tiffany,Pop,`,104,Radio romance,Can’t stop a heartbeat
,Chesney Hawkes,Chesney Hawkes,Pop,Y,105,The one and only,It’s gonna be tough
,Kylie Minogue,Kylie Minogue,Pop,Y,106,Je ne sais pas pourquoi,Made in heaven
,Elton John,Elton John,Pop,Y,107,Rocket Man,Suzie
,Kylie Minogue,Kylie Minogue,Pop,Y,108,The locomotion,I’ll still be loving you
,Kylie and Jason,Kylie and Jason,Pop,Y,109,Especially for you,All I want to do
,Richard Marx,Richard Marx,Oldy,Y,110,Right here waiting,Hold on to the nights
,Jason Donovan,Jason Donovan,Pop,Y,112,Any dream will do,Close every door
,Dolly Parton,Dolly Parton,Country,Y,111,Jolene,Coat of many colours
,Paula Abdul,Paula Abdul,Pop,`,113,Opposites attract,One or the other
,Billy Joel,Billy Joel,Pop,Y,114,An innocent man,You’re my home
,Beautiful South,Beautiful South,Pop,Y,115,A little time,In other words I hate you
,Wet wet wet,Wet wet wet,Pop,Y,116,With a little help from my friends,She’s leaving home
,Wet wet wet,Wet wet wet,Pop,Y,117,Sweet surrender,This time
,Aha,Aha,Pop,Y,118,Train of thought,And you tell me
,Aha,Aha,Pop,Y,119,Touchy,Hurry home
,Aztec Camera,Aztec Camera,Pop,Y,120,Somewhere in my heart,Everybody is a number one
,Phil Collins,Phil Collins,Pop,Y,121,I wish it would rain down,Homeless
,Paul Young,Paul Young,Pop,Y,122,Every time you go away,This means anything
,Nic Kershaw,Nic Kershaw,Pop,Y,123,Don Quixote,Don’t lie
,Bryan Adams,Bryan Adams,Rock,Y,124,Everything I do,She’s only happy when she’s dancing
,Halo Jones,Halo Jones,Rock,Y,125,Could have told you,Well of souls
,Eurythmics,Eurythmics,Rock,Y,126,Sweet dreams,I could give you a mirror
,Diana Ross,Diana Ross,Rock,Y,127,Chain reaction,More and more
,Otis Reading,Otis Reading,Rock,Y,128,Sittin’ on the dock of the bay,My girl
,The Eagles,The Eagles,Rock,Y,129,Hotel California,Pretty maids all in a row
,James Brown,James Brown,Rock,Y,130,It’s a mans mans mans world,Is it yes or is it now
,Jackie Wilson,Jackie Wilson,Rock,Y,131,I get the sweetest feeling,Lonely teardrops
,Jackie Wilson,Jackie Wilson,Rock,Y,132,Reet Petite,You brought about a change in me
,Beach boys,Beach boys,Rock,Y,133,Wouldn’t it be nice,God only knows
,Neil Diamond,Neil Diamond,Rock,Y,134,Sweet Caroline,Brother Love’s travelling salvation shows
,Elvis Presley,Elvis Presley,Rock,Y,135,Jailhouse Rock,I want to be free
,David Bowie,David Bowie,Rock,Y,136,Space Oddity,Changes
,Queen,Queen,Rock,Y,137,Bohemian Rhapsody,I’m in love with my car
,Queen,Queen,Rock,Y,138,You’re my best friend,'39
,Queen,Queen,Rock,Y,139,Killer Queen,Flick of the wrist
,Queen,Queen,Rock,Y,140,We will rock you,Crazy little thing called love
,Queen,Queen,Rock,Y,141,Another one bites the dust,Dragon attack
,Queen,Queen,Rock,Y,142,Hammer to fall,Tear it up
,Frankie goes to Hollywood,Frankie goes to Hollywood,Disco,Y,146,Two tribes,One February friday
,Billy Joel,Billy Joel,Oldy,Y,143,Vienna,Movin’ Out
,Billy Joel,Billy Joel,Oldy,Y,144,Piano Man,You’re my home
,Abba,Abba,Disco,Y,145,Does your mother know,Kisses of fire
,John Denver,John Denver,Country,Y,147,Annie’s song,"Take me home, country roads"
,Billy Eilish,Billy Eilish,Pop,Y,148,What was I made for,What was I made for
,Roxette,Roxette,Disco,Y,149,It must have been love,Paint
,KC and the Sunshine band,KC and the Sunshine band,Disco,Y,150,That’s the way I like it,That’s the way I like it
,Lonnie Donegan,Lonnie Donegan,Oldy,Y,151,My old man’s a dustman,The golden vanity
,Ed the Duck,Ed the Duck,Oldy,Y,152,Awesome dude,"The good, the bad and the ugly"
,Ed Sheeran,Ed Sheeran,Pop,Y,153,Thinking out loud,I’m a mess
,Monty Python,Monty Python,Oldy,Y,154,Always look on the bright side,I’m so worried
,Foundations,Foundations,Pop,Y,155,"Baby, now that I’ve found you",Build me up buttercup
,Boyzone,Boyzone,Oldy,Y,156,Father and son,Should be missing you now
,Bette Midler,Bette Midler,Oldy,Y,157,The rose,Love me with a feeling
,Fleetwood Mac,Fleetwood Mac,Oldy,Y,158,Don’t stop,Never going back again
,The vaccines,The vaccines,Pop,Y,159,Wetsuit,Tiger blood
,Beautiful South,Beautiful South,Pop,Y,160,Prettiest eyes,Size
,Cliff Richard,Cliff Richard,Oldy,Y,161,Mistletoe and wine,Marmaduke
,Queen,Queen,Disco,Y,162,Don’t stop me now,In only 7 days
,The Jam,The Jam,Disco,`,163,Going underground,The dreams of children
,Harry Chapin,Harry Chapin,Oldy,Y,164,Wold,Cats in the cradle
,Guns ‘n’ Roses,Guns ‘n’ Roses,Rock,Y,165,Sweet child of mine,Outta get me
,Abba,Abba,Disco,Y,166,Chiquitita,Love light
,Abba,Abba,Disco,Y,167,One of us,Should I laugh or cry
,Abba,Abba,Disco,Y,168,Fernando,"Hey, hey, Helen"
,Abba,Abba,Disco,Y,169,Winner takes it all,Elaine
,Céline Dion,Céline Dion,,New,108,It’s all coming back to me now,Think twice
,Scorpions,Scorpions,,New,109,Wind of change,Restless nights
,Hozier,Hozier,,New,152,Take me to church,Run
,"Leona Lewis ",T’pau,,New,106,Run,China in my hands
,Starship,Starship,Pop,New,163,We built this city,Private room
,John Farnham,,,New,104,You’re the voice,Going going gone
,Jona Lewie,,,New,112,Stop the cavalry,Laughing tonight
,Mike and the mechanics,Mike and the mechanics,Pop,New,113,Over my shoulder,Something to believe in
